trip,Year,month,gear,light,fleet,bait,hook,hooks,sets,SWO,BUM,lat5,lon5,lat,lon,hbf,habSWO,habBUM,season,area
101.1997.5.1.25.-70,1997,5,101,3,1,4,4,0.352,1,1,0,25,-70,28.5,-73.5,4,3.0283e-08,4.4629e-08,2,N
101.1998.4.1.30.-70,1998,4,101,3,1,4,4,0.924,2,2,0,30,-70,31.5,-72.5,4,2.97985e-08,2.97955e-08,2,N
101.1998.5.1.25.-70,1998,5,101,3,1,4,4,3.476,9,20,0,25,-70,29.5,-71.5,4,3.1448e-08,3.0541e-08,2,N
101.1999.10.1.25.-70,1999,10,101,3,1,4,4,0.744,2,4,0,25,-70,28.5,-72.5,4,3.0366e-08,6.3488e-08,4,N
101.1999.10.1.25.-85,1999,10,101,3,1,4,4,7.648,9,45,2,25,-85,27.5,-86.5,4,3.5811e-08,5.2414e-08,4,N
101.1999.5.1.25.-75,1999,5,101,3,1,4,4,1.404,4,8,0,25,-75,26.5,-75.5,4,3.1607e-08,6.4344e-08,2,N
101.1999.7.1.25.-75,1999,7,101,3,1,4,4,1.656,6,6,0,25,-75,27.5,-75.5,4,3.10685e-08,1.02916e-07,3,N
101.2000.6.1.25.-80,2000,6,101,3,1,4,4,5.096,6,0,0,25,-80,28,-84.5,4,0,0,2,N
101.2001.10.1.25.-80,2001,10,101,3,1,4,4,0.8,1,0,1,25,-80,27.5,-84.5,4,0,3.7496e-08,4,N
101.2001.11.1.30.-70,2001,11,101,3,1,4,4,0.4,1,2,0,30,-70,32.5,-74.5,4,3.1618e-08,4.7886e-08,4,N
101.2001.7.1.35.-65,2001,7,101,3,1,4,4,0.3,1,0,0,35,-65,37.5,-67.5,4,3.2958e-08,3.8404e-08,3,N
101.2002.11.1.25.-70,2002,11,101,3,1,4,4,4.192,14,22,0,25,-70,29.5,-72,4,3.0839e-08,5.16965e-08,4,N
101.2002.5.1.25.-85,2002,5,101,3,1,4,4,1.6,2,11,0,25,-85,27.5,-86.5,4,3.3549e-08,5.1944e-08,2,N
101.2003.4.1.25.-85,2003,4,101,3,1,4,4,2.652,3,5,0,25,-85,28.5,-85.5,4,0,1.5533e-08,2,N
101.2006.6.1.25.-85,2006,6,101,3,1,4,4,3.224,4,22,1,25,-85,27.5,-89,4,3.5081e-08,5.4634e-08,2,N
101.2012.8.1.25.-85,2012,8,101,3,1,4,4,0.8,1,0,0,25,-85,28.5,-85.5,4,0,5.0821e-08,3,N
102.1996.3.1.25.-85,1996,3,102,3,1,4,4,1.6,2,12,0,25,-85,27.5,-85.5,5,3.5471e-08,2.3158e-08,1,N
102.1996.7.1.25.-70,1996,7,102,3,1,4,4,0.65,2,2,0,25,-70,27.5,-73.5,5,3.3097e-08,7.6831e-08,3,N
102.1996.8.1.20.-65,1996,8,102,3,1,4,4,0.8,2,4,1,20,-65,21.5,-67.5,5,3.1574e-08,1.676e-07,3,N
102.1997.3.1.25.-85,1997,3,102,3,1,4,4,2.4,3,13,0,25,-85,27.5,-86.5,5,3.5364e-08,3.47e-08,1,N
102.1999.9.1.25.-75,1999,9,102,3,1,4,4,0.4,1,1,0,25,-75,26.5,-75.5,5,3.3348e-08,1.241e-07,3,N
102.2000.5.1.35.-65,2000,5,102,3,1,4,4,0.4,1,1,0,35,-65,36.5,-67.5,5,3.3234e-08,2.1888e-08,2,N
102.2001.10.1.40.-65,2001,10,102,3,1,4,4,2.3,4,15,0,40,-65,40.5,-65.5,5,4.9902e-08,5.1249e-09,4,N
102.2001.2.1.30.-70,2001,2,102,3,1,4,4,3.4,5,27,1,30,-70,33.5,-70.5,5,2.9804e-08,4.9677e-08,1,N
102.2001.5.1.25.-70,2001,5,102,3,1,4,4,1.2,3,6,0,25,-70,29.5,-72.5,5,3.3138e-08,2.913e-08,2,N
102.2001.9.1.25.-70,2001,9,102,3,1,4,4,0.74,2,4,0,25,-70,29.5,-74.5,5,3.1333e-08,7.3605e-08,3,N
102.2002.7.1.20.-75,2002,7,102,3,1,4,4,1.2,3,7,0,20,-75,24.5,-75.5,5,3.332e-08,1.5724e-07,3,N
102.2003.3.1.30.-70,2003,3,102,3,1,4,4,1.08,3,7,0,30,-70,30.5,-72.5,5,3.062e-08,3.6562e-08,1,N
102.2003.5.1.35.-70,2003,5,102,3,1,4,4,1.4,2,6,0,35,-70,36.5,-70.5,5,3.3598e-08,1.296e-08,2,N
103.1999.7.1.40.-60,1999,7,103,3,1,4,4,2.922,3,11,0,40,-60,40.5,-63.5,6,4.7535e-08,8.4709e-09,3,N
103.1999.9.1.0.-25,1999,9,103,3,1,4,4,1.8,2,9,0,0,-25,4.5,-27.5,6,4.0911e-08,1.6782e-07,3,N
103.2000.4.1.30.-70,2000,4,103,3,1,4,4,5.598,6,18,0,30,-70,33.5,-71.5,6,3.3458e-08,3.0982e-08,2,N
103.2000.5.1.30.-70,2000,5,103,3,1,4,4,5.52,6,17,0,30,-70,33.5,-71,6,3.4143e-08,3.92745e-08,2,N
103.2002.7.1.40.-55,2002,7,103,3,1,4,4,0.9,1,2,0,40,-55,41.5,-56.5,6,4.6765e-08,5.7896e-09,3,N
103.2004.11.1.25.-75,2004,11,103,3,1,4,4,0.402,1,0,0,25,-75,25.5,-78.5,6,0,0,4,N
105.2005.2.1.20.-50,2005,2,105,4,1,2,1,0.87,1,3,0,20,-50,21.5,-51.5,3,2.8292e-08,1.1806e-07,1,N
105.2005.5.1.40.-45,2005,5,105,4,1,2,1,3.996,4,9,0,40,-45,41,-46.5,3,3.18555e-08,1.3801e-09,2,N
105.2006.9.1.45.-40,2006,9,105,4,1,2,1,2.601,3,3,0,45,-40,46.5,-40.5,3,3.7198e-08,2.7821e-09,3,N
105.2007.12.1.25.-60,2007,12,105,4,1,2,1,0.999,1,2,0,25,-60,27.5,-60.5,3,2.8123e-08,6.9384e-08,4,N
105.2008.7.1.40.-60,2008,7,105,4,1,2,1,8.586,11,17,0,40,-60,41.5,-63.5,3,5.1213e-08,1.6469e-09,3,N
105.2009.2.1.25.-65,2009,2,105,4,1,2,1,8.991,9,12,0,25,-65,27.5,-67.5,3,2.6224e-08,4.9432e-08,1,N
105.2011.4.1.25.-75,2011,4,105,4,1,2,1,4.398,7,3,0,25,-75,25.5,-78.5,3,0,0,2,N
105.2011.9.1.40.-40,2011,9,105,4,1,2,1,3.081,3,7,0,40,-40,44.5,-41.5,3,4.3361e-08,5.7339e-09,3,N
105.2012.11.1.25.-60,2012,11,105,4,1,2,1,10.461,11,11,0,25,-60,28.5,-62.5,3,2.8263e-08,6.3133e-08,4,N
105.2014.2.1.25.-90,2014,2,105,4,1,2,1,8.172,8,14,0,25,-90,27.5,-90.5,3,3.1708e-08,3.9389e-08,1,N
106.2004.10.1.45.-40,2004,10,106,4,1,2,1,14.44,15,55,0,45,-40,46.5,-42.5,4,4.4192e-08,1.134e-09,4,N
106.2005.10.1.30.-75,2005,10,106,4,1,2,1,0.552,1,0,0,30,-75,32.5,-75.5,4,2.9855e-08,7.9391e-08,4,N
106.2006.1.1.15.-60,2006,1,106,4,1,2,1,3.808,5,12,0,15,-60,18.5,-62.5,4,3.0452e-08,2.1045e-07,1,N
106.2006.10.1.40.-40,2006,10,106,4,1,2,1,35.736,39,133,0,40,-40,44.5,-42.5,4,3.6195e-08,7.2325e-09,4,N
106.2006.2.1.25.-85,2006,2,106,4,1,2,1,3.028,3,10,0,25,-85,27.5,-86.5,4,3.1648e-08,2.8367e-08,1,N
106.2006.3.1.30.-65,2006,3,106,4,1,2,1,7.076,8,13,0,30,-65,30.5,-68.5,4,2.6718e-08,2.1194e-08,1,N
106.2006.7.1.45.-40,2006,7,106,4,1,2,1,3.896,6,17,0,45,-40,47.5,-40.5,4,3.7886e-08,1.7979e-09,3,N
106.2007.1.1.25.-55,2007,1,106,4,1,2,1,12.92,16,31,0,25,-55,27.5,-59.5,4,2.7185e-08,4.5445e-08,1,N
106.2007.1.1.25.-85,2007,1,106,4,1,2,1,3.016,3,9,0,25,-85,28.5,-87.5,4,3.0897e-08,3.3334e-08,1,N
106.2007.10.1.40.-60,2007,10,106,4,1,2,1,2.088,2,12,0,40,-60,40.5,-64,4,4.578e-08,7.49195e-09,4,N
106.2007.11.1.35.-65,2007,11,106,4,1,2,1,7.176,9,25,0,35,-65,37.5,-68.5,4,3.0215e-08,2.8233e-08,4,N
106.2007.11.1.40.-60,2007,11,106,4,1,2,1,2.34,3,7,0,40,-60,40.5,-61.5,4,3.7382e-08,1.2995e-08,4,N
106.2007.3.1.15.-55,2007,3,106,4,1,2,1,1.6,2,4,1,15,-55,18.5,-58.5,4,2.9604e-08,1.5352e-07,1,N
106.2007.3.1.25.-70,2007,3,106,4,1,2,1,11.54,16,35,1,25,-70,29.5,-72.5,4,2.6809e-08,4.6711e-08,1,N
106.2007.6.1.35.-60,2007,6,106,4,1,2,1,4.62,5,18,1,35,-60,38.5,-62.5,4,3.1468e-08,1.8388e-08,2,N
106.2007.8.1.40.-60,2007,8,106,4,1,2,1,6.3,7,45,0,40,-60,41.5,-61.5,4,6.7639e-08,4.2346e-09,3,N
106.2007.9.1.40.-40,2007,9,106,4,1,2,1,11.472,11,52,1,40,-40,44.5,-42.5,4,3.9194e-08,4.0896e-09,3,N
106.2008.1.1.25.-55,2008,1,106,4,1,2,1,7.912,9,28,0,25,-55,26.5,-59.5,4,2.7198e-08,6.5787e-08,1,N
106.2008.2.1.25.-60,2008,2,106,4,1,2,1,7.2,8,18,2,25,-60,27.5,-61.5,4,2.6169e-08,5.2761e-08,1,N
106.2008.2.1.25.-85,2008,2,106,4,1,2,1,1.8,2,0,0,25,-85,28.5,-85.5,4,0,3.6607e-08,1,N
106.2008.3.1.25.-70,2008,3,106,4,1,2,1,18.02,26,69,0,25,-70,29.5,-72.5,4,2.6487e-08,4.1116e-08,1,N
106.2008.4.1.30.-60,2008,4,106,4,1,2,1,10.888,11,30,0,30,-60,31.5,-63.5,4,2.7152e-08,3.2246e-08,2,N
106.2008.5.1.35.-65,2008,5,106,4,1,2,1,3.216,4,5,1,35,-65,36.5,-65.5,4,2.7901e-08,2.8936e-08,2,N
106.2009.1.1.25.-60,2009,1,106,4,1,2,1,17.304,20,55,1,25,-60,27.5,-62.5,4,2.7302e-08,5.4924e-08,1,N
106.2009.4.1.15.-60,2009,4,106,4,1,2,1,2.8,4,7,2,15,-60,19.5,-63.5,4,2.9376e-08,1.4679e-07,2,N
106.2009.6.1.30.-70,2009,6,106,4,1,2,1,13.708,16,53,1,30,-70,33.5,-70.5,4,2.7827e-08,4.1052e-08,2,N
106.2009.6.1.35.-65,2009,6,106,4,1,2,1,3.524,5,11,1,35,-65,36.5,-68.5,4,2.9079e-08,2.8908e-08,2,N
106.2009.7.1.40.-60,2009,7,106,4,1,2,1,24.44,22,108,0,40,-60,41.5,-61.5,4,4.67285e-08,4.7405e-09,3,N
106.2010.11.1.30.-75,2010,11,106,4,1,2,1,0.648,1,2,0,30,-75,32.5,-75.5,4,2.9735e-08,6.0937e-08,4,N
106.2010.3.1.20.-60,2010,3,106,4,1,2,1,2.944,3,5,1,20,-60,20.5,-60.5,4,2.8806e-08,1.3427e-07,1,N
106.2010.5.1.35.-65,2010,5,106,4,1,2,1,1.704,2,5,0,35,-65,35.5,-66.5,4,2.7783e-08,1.5312e-08,2,N
106.2011.3.1.25.-70,2011,3,106,4,1,2,1,8.02,10,16,0,25,-70,29.5,-71.5,4,2.784e-08,2.8963e-08,1,N
106.2011.7.1.40.-65,2011,7,106,4,1,2,1,3.52,4,14,0,40,-65,40.5,-66.5,4,5.1079e-08,3.7356e-09,3,N
106.2012.10.1.30.-75,2012,10,106,4,1,2,1,1.8,3,7,0,30,-75,32.5,-75.5,4,2.9877e-08,8.9591e-08,4,N
106.2012.6.1.30.-65,2012,6,106,4,1,2,1,2.28,2,9,0,30,-65,34.5,-68.5,4,2.766e-08,2.9313e-08,2,N
106.2012.8.1.40.-60,2012,8,106,4,1,2,1,3.396,3,18,0,40,-60,41.5,-60.5,4,5.8719e-08,1.0893e-08,3,N
106.2013.2.1.25.-65,2013,2,106,4,1,2,1,53.792,60,134,2,25,-65,28.5,-66.5,4,2.6335e-08,4.3283e-08,1,N
106.2013.3.1.35.-65,2013,3,106,4,1,2,1,1.6,2,2,0,35,-65,35.5,-68.5,4,2.6862e-08,3.5245e-08,1,N
106.2013.5.1.25.-70,2013,5,106,4,1,2,1,2.688,3,4,0,25,-70,29.5,-71.5,4,2.7813e-08,3.4656e-08,2,N
106.2013.7.1.40.-60,2013,7,106,4,1,2,1,31.416,35,138,0,40,-60,41.5,-62.5,4,4.3608e-08,4.578e-09,3,N
106.2013.7.1.45.-40,2013,7,106,4,1,2,1,1.72,2,1,0,45,-40,46,-42,4,3.65345e-08,1.241775e-09,3,N
106.2013.9.1.40.-40,2013,9,106,4,1,2,1,1.004,1,5,0,40,-40,44.5,-43.5,4,3.9351e-08,5.41e-09,3,N
106.2014.4.1.25.-75,2014,4,106,4,1,2,1,12.896,14,12,0,25,-75,26.5,-77.5,4,0,0,2,N
106.2015.1.1.20.-55,2015,1,106,4,1,2,1,1.648,2,6,0,20,-55,24,-57.5,4,2.82915e-08,1.050525e-07,1,N
106.2015.10.1.30.-65,2015,10,106,4,1,2,1,3.2,4,6,0,30,-65,31.5,-69.5,4,2.7909e-08,5.0629e-08,4,N
106.2015.12.1.25.-65,2015,12,106,4,1,2,1,6.5,7,27,1,25,-65,29.5,-65.5,4,2.8799e-08,4.4071e-08,4,N
106.2015.6.1.30.-75,2015,6,106,4,1,2,1,3.34,5,13,1,30,-75,32.5,-75.5,4,2.9701e-08,5.0255e-08,2,N
107.2005.5.1.15.-60,2005,5,107,4,1,2,1,0.93,1,2,0,15,-60,17.5,-63.5,5,3.2849e-08,1.5167e-07,2,N
107.2005.6.1.35.-65,2005,6,107,4,1,2,1,2.45,3,7,0,35,-65,36.5,-69.5,5,2.8645e-08,1.7271e-08,2,N
107.2006.4.1.15.-40,2006,4,107,4,1,2,1,0.8,1,5,1,15,-40,15.5,-42.5,5,2.9478e-08,8.6618e-08,2,N
107.2006.7.1.45.-40,2006,7,107,4,1,2,1,5.67,6,27,0,45,-40,45.5,-43,5,3.6773e-08,1.01472e-09,3,N
107.2007.10.1.30.-70,2007,10,107,4,1,2,1,0.6,1,6,0,30,-70,32.5,-72.5,5,2.7649e-08,4.0717e-08,4,N
107.2007.5.1.30.-70,2007,5,107,4,1,2,1,11.2,16,56,0,30,-70,32.5,-73.5,5,2.7363e-08,2.2054e-08,2,N
107.2008.2.1.25.-75,2008,2,107,4,1,2,1,3.55,5,9,0,25,-75,25.5,-75.5,5,2.6764e-08,9.2737e-08,1,N
107.2008.6.1.30.-70,2008,6,107,4,1,2,1,5.8,8,22,1,30,-70,32.5,-73.5,5,2.73725e-08,3.6025e-08,2,N
107.2008.8.1.30.-70,2008,8,107,4,1,2,1,2.8,4,11,0,30,-70,32.5,-73,5,2.66765e-08,5.36335e-08,3,N
107.2009.11.1.40.-65,2009,11,107,4,1,2,1,13.55,12,88,0,40,-65,40.5,-66.5,5,3.9219e-08,2.1731e-09,4,N
107.2010.1.1.25.-60,2010,1,107,4,1,2,1,2.67,3,15,0,25,-60,29.5,-64.5,5,2.6632e-08,3.1733e-08,1,N
107.2010.10.1.45.-40,2010,10,107,4,1,2,1,2.4,2,12,0,45,-40,45.5,-43.5,5,4.1486e-08,5.7146e-10,4,N
107.2010.12.1.30.-70,2010,12,107,4,1,2,1,22.43,27,84,0,30,-70,32.5,-72.5,5,2.7142e-08,3.6197e-08,4,N
107.2011.12.1.25.-60,2011,12,107,4,1,2,1,2.4,2,5,0,25,-60,27.5,-60.5,5,2.709e-08,4.5913e-08,4,N
107.2012.10.1.40.-60,2012,10,107,4,1,2,1,0.73,1,5,0,40,-60,40.5,-63.5,5,3.4746e-08,9.2637e-09,4,N
107.2012.6.1.25.-65,2012,6,107,4,1,2,1,0.65,1,5,0,25,-65,29.5,-69.5,5,2.8498e-08,3.0274e-08,2,N
107.2013.11.1.35.-65,2013,11,107,4,1,2,1,0.7,1,5,0,35,-65,37.5,-67.5,5,2.9244e-08,2.7379e-08,4,N
107.2013.11.1.35.-70,2013,11,107,4,1,2,1,4.2,6,16,0,35,-70,37.5,-70.5,5,2.9321e-08,1.6059e-08,4,N
107.2013.4.1.30.-70,2013,4,107,4,1,2,1,52.165,64,183,4,30,-70,30.5,-71.5,5,2.6772e-08,2.86105e-08,2,N
107.2013.5.1.35.-65,2013,5,107,4,1,2,1,14.765,17,57,0,35,-65,35.5,-69.5,5,2.7281e-08,2.0949e-08,2,N
107.2014.1.1.25.-65,2014,1,107,4,1,2,1,12.86,14,54,1,25,-65,29.5,-68.5,5,2.6429e-08,3.6187e-08,1,N
108.2008.2.1.30.-70,2008,2,108,4,1,2,1,5.772,5,35,1,30,-70,31.5,-71.5,6,2.5055e-08,3.9761e-08,1,N
108.2008.9.1.40.-55,2008,9,108,4,1,2,1,1.002,1,10,0,40,-55,41.5,-59.5,6,4.9594e-08,5.9958e-09,3,N
108.2009.5.1.30.-70,2009,5,108,4,1,2,1,1.53,2,10,0,30,-70,33,-73.5,6,2.67995e-08,3.82675e-08,2,N
108.2009.7.1.30.-70,2009,7,108,4,1,2,1,0.6,1,3,0,30,-70,32.5,-73.5,6,2.6638e-08,4.8179e-08,3,N
108.2010.3.1.30.-70,2010,3,108,4,1,2,1,0.6,1,3,0,30,-70,31.5,-70.5,6,2.5862e-08,1.0123e-08,1,N
108.2011.2.1.25.-70,2011,2,108,4,1,2,1,2.85,5,19,0,25,-70,29.5,-74.5,6,2.5371e-08,4.4072e-08,1,N
108.2012.11.1.30.-70,2012,11,108,4,1,2,1,0.798,1,7,0,30,-70,32.5,-72.5,6,2.6954e-08,4.28e-08,4,N
108.2012.2.1.5.-40,2012,2,108,4,1,2,1,1.8,2,16,0,5,-40,6.5,-43.5,6,3.162e-08,9.8146e-08,1,N
108.2013.9.1.30.-70,2013,9,108,4,1,2,1,2.4,4,18,0,30,-70,30.5,-70.5,6,2.6759e-08,4.5019e-08,3,N
108.2015.10.1.25.-70,2015,10,108,4,1,2,1,6.444,8,39,0,25,-70,29.5,-73.5,6,2.82195e-08,5.262e-08,4,N
11.1990.6.1.40.-60,1990,6,11,1,1,2,4,3.507,7,29,0,40,-60,40.5,-62.5,3,3.8942e-08,3.7372e-09,2,N
11.1992.2.1.25.-75,1992,2,11,1,1,2,4,2.004,4,12,0,25,-75,27.5,-79.5,3,3.5767e-08,8.5476e-08,1,N
11.1992.7.1.40.-40,1992,7,11,1,1,2,4,0.558,1,7,0,40,-40,44.5,-41.5,3,3.7942e-08,2.4055e-09,3,N
11.1992.8.1.40.-35,1992,8,11,1,1,2,4,0.801,1,6,0,40,-35,44.5,-39.5,3,4.0364e-08,3.2508e-09,3,N
11.1992.9.1.40.-60,1992,9,11,1,1,2,4,0.801,1,2,0,40,-60,40.5,-63.5,3,5.0355e-08,1.5692e-08,3,N
11.1993.1.1.25.-70,1993,1,11,1,1,2,4,1.002,2,7,0,25,-70,29.5,-72.5,3,2.7077e-08,5.2618e-08,1,N
11.1993.7.1.40.-35,1993,7,11,1,1,2,4,14.259,20,99,0,40,-35,44.5,-37.5,3,3.5009e-08,2.9738e-09,3,N
11.1993.7.1.40.-40,1993,7,11,1,1,2,4,0.699,1,4,0,40,-40,44.5,-40.5,3,3.5944e-08,2.7572e-09,3,N
11.1995.1.1.15.-55,1995,1,11,1,1,2,4,5.01,10,32,3,15,-55,18.5,-58,3,3.025e-08,1.4509e-07,1,N
11.1995.2.1.15.-60,1995,2,11,1,1,2,4,4.008,8,24,1,15,-60,18.5,-62.5,3,2.87025e-08,1.464e-07,1,N
11.1995.6.1.15.-55,1995,6,11,1,1,2,4,2.004,4,12,1,15,-55,17,-57,3,3.2023e-08,1.68545e-07,2,N
11.1998.6.1.40.-35,1998,6,11,1,1,2,4,9.9,11,46,0,40,-35,43.5,-39.5,3,3.0359e-08,2.0556e-09,2,N
11.1999.1.1.25.-60,1999,1,11,1,1,2,4,1.341,2,9,0,25,-60,28,-63,3,2.55315e-08,4.3774e-08,1,N
11.2002.2.1.15.-40,2002,2,11,1,1,2,4,1.503,3,3,1,15,-40,15.5,-44.5,3,2.7501e-08,1.08e-07,1,N
112.2005.6.1.30.-70,2005,6,112,4,1,2,3,1.656,3,28,1,30,-70,33.5,-74.5,4,2.7728e-08,3.4595e-08,2,N
114.1990.10.1.40.-60,1990,10,114,4,1,2,4,2.4,4,25,0,40,-60,40.5,-63.5,2,4.4572e-08,9.86305e-09,4,N
114.1990.10.1.45.-35,1990,10,114,4,1,2,4,13.402,21,134,0,45,-35,47.5,-38.5,2,5.2107e-08,1.3942e-09,4,N
114.1990.5.1.40.-35,1990,5,114,4,1,2,4,0.7,1,6,0,40,-35,44.5,-38.5,2,3.7972e-08,6.3783e-10,2,N
114.1990.7.1.40.-40,1990,7,114,4,1,2,4,3.204,5,28,0,40,-40,44.5,-41.5,2,5.1517e-08,1.8857e-09,3,N
114.1990.8.1.35.-65,1990,8,114,4,1,2,4,0.56,1,6,0,35,-65,37.5,-65.5,2,5.0396e-08,7.2262e-08,3,N
114.1990.8.1.40.-60,1990,8,114,4,1,2,4,4.986,9,104,0,40,-60,41.5,-61.5,2,7.6432e-08,9.4889e-09,3,N
114.1991.3.1.30.-65,1991,3,114,4,1,2,4,0.7,1,1,0,30,-65,30.5,-69.5,2,3.0844e-08,4.7918e-08,1,N
114.1992.10.1.45.-30,1992,10,114,4,1,2,4,1.2,2,16,0,45,-30,47.5,-34.5,2,4.5493e-08,8.8092e-10,4,N
114.1992.10.1.45.-35,1992,10,114,4,1,2,4,17.912,25,150,0,45,-35,46.5,-37.5,2,4.6791e-08,2.3066e-09,4,N
114.1992.8.1.40.-35,1992,8,114,4,1,2,4,2.45,4,17,0,40,-35,44.5,-37.5,2,4.8458e-08,4.0282e-09,3,N
114.1993.2.1.15.-40,1993,2,114,4,1,2,4,0.6,1,7,0,15,-40,16.5,-43.5,2,3.4609e-08,1.1598e-07,1,N
114.1995.10.1.40.-45,1995,10,114,4,1,2,4,2.1,3,23,0,40,-45,43.5,-45.5,2,5.5945e-08,8.9327e-10,4,N
114.1995.4.1.10.-40,1995,4,114,4,1,2,4,6.3,9,37,3,10,-40,11.5,-40.5,2,3.3294e-08,6.8866e-08,2,N
114.1996.1.1.20.-50,1996,1,114,4,1,2,4,3.35,5,21,0,20,-50,20.5,-51.5,2,3.4257e-08,1.3046e-07,1,N
114.1996.10.1.40.-35,1996,10,114,4,1,2,4,0.9,1,6,0,40,-35,44.5,-39.5,2,4.2619e-08,4.385e-09,4,N
114.1996.2.1.20.-80,1996,2,114,4,1,2,4,0.506,1,4,0,20,-80,23.5,-80.5,2,3.8323e-08,8.9112e-08,1,N
114.1996.4.1.5.-40,1996,4,114,4,1,2,4,0.65,1,3,0,5,-40,9.5,-42.5,2,3.3164e-08,9.4241e-08,2,N
114.1997.1.1.10.-40,1997,1,114,4,1,2,4,1.6,2,7,1,10,-40,11.5,-40.5,2,2.978e-08,6.5561e-08,1,N
114.1997.12.1.20.-45,1997,12,114,4,1,2,4,4.232,4,24,2,20,-45,21.5,-46.5,2,3.3429e-08,1.2213e-07,4,N
114.1997.8.1.45.-35,1997,8,114,4,1,2,4,11.5,15,90,0,45,-35,46.5,-37.5,2,4.4683e-08,1.4599e-09,3,N
114.1998.6.1.35.-55,1998,6,114,4,1,2,4,3.5,5,22,0,35,-55,39.5,-59.5,2,3.5491e-08,2.2173e-08,2,N
114.1999.1.1.25.-70,1999,1,114,4,1,2,4,4.2,6,19,0,25,-70,29.5,-71.5,2,3.0763e-08,5.477e-08,1,N
114.1999.2.1.25.-65,1999,2,114,4,1,2,4,1.4,2,7,0,25,-65,29.5,-69.5,2,3.011e-08,4.4595e-08,1,N
115.1991.12.1.20.-55,1991,12,115,4,1,2,4,11.064,18,56,8,20,-55,22.5,-57.5,3,2.8594e-08,1.3266e-07,4,N
